epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,209.573,0.35412,0.3925,0.87752,0.99625,1,0.995,0.92647,0.39677,0.28772,0.64516,0.000396246,0.000396246,0.000396246
79,211.753,0.34259,0.37739,0.85844,0.9965,1,0.995,0.9255,0.4021,0.2951,0.64537,0.000379743,0.000379743,0.000379743
80,213.823,0.35259,0.38437,0.86833,0.99623,1,0.995,0.94834,0.32618,0.30618,0.6443,0.000363239,0.000363239,0.000363239
81,216.288,0.35319,0.38744,0.87303,0.99626,1,0.995,0.95452,0.31,0.29539,0.64419,0.000346736,0.000346736,0.000346736
82,219.978,0.36718,0.39481,0.87827,0.99658,1,0.995,0.94746,0.31228,0.30001,0.64371,0.000330233,0.000330233,0.000330233
83,222.862,0.34953,0.38029,0.85939,0.99661,1,0.995,0.94226,0.32339,0.29435,0.64101,0.000313729,0.000313729,0.000313729
84,225.015,0.35084,0.37287,0.8714,0.99665,1,0.995,0.92549,0.36574,0.28275,0.63931,0.000297226,0.000297226,0.000297226
85,227.026,0.35231,0.37521,0.87132,0.99662,1,0.995,0.93202,0.34932,0.28153,0.63763,0.000280723,0.000280723,0.000280723
86,229.147,0.3735,0.38831,0.87042,0.9965,1,0.995,0.94817,0.32817,0.28601,0.63682,0.00026422,0.00026422,0.00026422
87,231.33,0.35629,0.37748,0.88445,0.9963,1,0.995,0.94075,0.32997,0.28387,0.63665,0.000247716,0.000247716,0.000247716
88,234.47,0.37195,0.38433,0.86617,0.99621,1,0.995,0.94114,0.34559,0.27484,0.64004,0.000231213,0.000231213,0.000231213
89,237.726,0.36708,0.38629,0.87348,0.99636,1,0.995,0.94145,0.35974,0.27187,0.64252,0.00021471,0.00021471,0.00021471
90,239.854,0.35395,0.3815,0.86567,0.99654,1,0.995,0.93611,0.36371,0.27566,0.64296,0.000198206,0.000198206,0.000198206
91,244.375,0.39205,0.70628,0.88653,0.9964,1,0.995,0.93839,0.34775,0.27422,0.64084,0.000181703,0.000181703,0.000181703
92,246.883,0.3437,0.60548,0.83961,0.99601,1,0.995,0.95753,0.29256,0.27943,0.63828,0.0001652,0.0001652,0.0001652
93,249.809,0.30653,0.50951,0.85398,0.99585,1,0.995,0.95911,0.28878,0.29456,0.63997,0.000148696,0.000148696,0.000148696
94,253.514,0.32073,0.53241,0.85405,0.99602,1,0.995,0.96649,0.29463,0.30703,0.64102,0.000132193,0.000132193,0.000132193
95,256.295,0.33958,0.5118,0.86034,0.99627,1,0.995,0.96679,0.29668,0.31595,0.63991,0.00011569,0.00011569,0.00011569
96,258.355,0.30174,0.48867,0.84193,0.99645,1,0.995,0.96055,0.29659,0.32452,0.6361,9.91865e-05,9.91865e-05,9.91865e-05
97,260.225,0.30427,0.48737,0.82104,0.99644,1,0.995,0.95324,0.29314,0.32187,0.63595,8.26832e-05,8.26832e-05,8.26832e-05
98,262.137,0.30553,0.47893,0.83821,0.99647,1,0.995,0.95319,0.29623,0.32026,0.63539,6.61799e-05,6.61799e-05,6.61799e-05
99,264.123,0.31652,0.49716,0.84142,0.9965,1,0.995,0.95711,0.2953,0.31164,0.63543,4.96766e-05,4.96766e-05,4.96766e-05
100,266.743,0.28169,0.45419,0.83124,0.99635,1,0.995,0.95732,0.29254,0.29375,0.63567,3.31733e-05,3.31733e-05,3.31733e-05
